feature_id	uniquename	name	value
101	ECDH10B_0026	polypeptide	bifunctional riboflavin kinase and FAD synthetase
381	ECDH10B_0098	polypeptide	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase
505	ECDH10B_0129	polypeptide	bifunctional glycosyl transferase and transpeptidase
1669	ECDH10B_0436	polypeptide	bifunctional UDP-sugar hydrolase and 5'-nucleotidase
1673	ECDH10B_0437	polypeptide	bifunctional cys-tRNA Pro deacetylase and cys-tRNA Cys deacylase
1861	ECDH10B_0485	polypeptide	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase and 5,10-methylene-tetrahydrofolate cyclohydrolase
4621	ECDH10B_1206	polypeptide	bifunctional thiamin pyrimidine pyrophosphate hydrolase and thiamin pyrophosphate hydrolase
6457	ECDH10B_1696	polypeptide	Qin prophage; bifunctional antitoxin of the RelE-RelB toxin-antitoxin system and transcriptional repressor
6681	ECDH10B_1755	polypeptide	bifunctional beta-cystathionase, PLP-dependent and regulator of maltose regulon
8041	ECDH10B_2137	polypeptide	bifunctional cobinamide kinase and cobinamide phosphate guanylyltransferase
8149	ECDH10B_2168	polypeptide	bifunctional histidinal dehydrogenase and histidinol dehydrogenase
8273	ECDH10B_2202	polypeptide	bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase and GDP-4-dehydro-6-L-deoxygalactose reductase
8457	ECDH10B_2256	polypeptide	bifunctional hydroxy-methylpyrimidine kinase and hydroxy-phosphomethylpyrimidine kinase
8945	ECDH10B_2391	polypeptide	bifunctional 3-demethylubiquinone-9 3-methyltransferase and 2-octaprenyl-6-hydroxy phenol methylase
9081	ECDH10B_2425	polypeptide	bifunctional 2-oxoglutarate decarboxylase and SHCHC synthase
9273	ECDH10B_2477	polypeptide	bifunctional folylpolyglutamate synthase and dihydrofolate synthase
9309	ECDH10B_2486	polypeptide	bifunctional 5-carboxymethylamino-methyl-2-thiouridine oxidoreductase and 5-aminomethyl-2-thiouridine methylase
10365	ECDH10B_2766	polypeptide	bifunctional chorismate mutase P and prephenate dehydratase
10369	ECDH10B_2767	polypeptide	bifunctional chorismate mutase T and prephenate dehydrogenase
11649	ECDH10B_3141	polypeptide	bifunctional prepilin leader peptidase and methylase
11997	ECDH10B_3233	polypeptide	bifunctional dihydroneopterin aldolase and dihydroneopterin triphosphate 2'-epimerase
13013	ECDH10B_3510	polypeptide	bifunctional prepilin leader peptidase and methylase
13105	ECDH10B_3535	polypeptide	bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase
14237	ECDH10B_3832	polypeptide	bifunctional (p)ppGpp synthetase II and guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase
14645	ECDH10B_3953	polypeptide	predicted bifunctional enzyme and transcriptional regulator
14873	ECDH10B_4024	polypeptide	bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase
15373	ECDH10B_4162	polypeptide	bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase and DNA-binding transcriptional repressor, bio-5'-AMP-binding
